敢えて	あえて	硬要，强行，（后接否定）未必
あくどい	あくどい	过火，浓艳，恶毒
当て嵌まる	あてはまる	适用，合适
アマチュア	アマチュア	业余爱好者
暗示	あんじ	暗示
如何に	いかに	怎样，多么
至って	いたって	很，直到
一様	いちよう	同样，平常
一変	いっぺん	完全改变
営む	いとなむ	从事，经营，建造
居眠り	いねむり	瞌睡，打盹儿
鬱陶しい	うっとうしい	沉闷，厌烦
おどおど	おどおど	提心吊胆，惴惴不安
夥しい	おびただしい	大量，非常
脅かす	おびやかす	威胁，胁迫
疎か	おろそか	疏忽，马马虎虎
温和	おんわ	温和
踵	かかと	脚后跟，鞋跟
掻き回す	かきまわす	搅拌，翻弄
格別	かくべつ	［副·ナ形］特别，姑且不论，例外
嵩張る	かさばる	增多，体积大
畏まる	かしこまる	毕恭毕敬，知道了
稼ぐ	かせぐ	拼命劳动，获得
過疎	かそ	过稀
庇う	かばう	庇护
過密	かみつ	过密
辛うじて	かろうじて	勉勉强强地
感染	かんせん	感染
兆し	きざし	征兆，苗头
気性	きしょう	秉性，脾气
食い違う	くいちがう	有分歧
くっきり	くっきり	显眼，清楚
窪む·凹む	くぼむ	洼陷，下沉，塌陷
くれぐれも	くれぐれも	反复，周到，仔细（［類］どうか）
汚らわしい	けがらわしい	污秽，卑鄙
煙たい	けむたい	［イ形］呛人，不易亲近，局促不安
控除	こうじょ	扣除
拗れる	こじれる	执拗，恶化
細やか	こまやか	细腻，细致入微
肥やす	こやす	使肥沃，使肥胖，使有鉴别能力，使获利
雇用	こよう	雇佣
遮る	さえぎる	遮挡，阻挡
差し支える	さしつかえる	障碍，有影响
さっぱり	さっぱり	整洁，坦率，爽快，完全
悟る	さとる	觉悟，看破
仕掛ける	しかける	着手，主动做，挑起，设下
嗜好	しこう	嗜好，爱好
慕う	したう	爱慕，敬仰
しぶとい	しぶとい	顽固，顽强
若干	じゃっかん	若干
借金	しゃっきん	借钱，欠款
斜面	しゃめん	斜面
ジャンル	ジャンル	种类，体裁
収支	しゅうし	收支
主催	しゅさい	主办
申告	しんこく	申报
辛抱	しんぼう	忍耐
据える	すえる	安置，拜访
廃れる	すたれる	废除，过时
素早い	すばやい	敏捷，麻利，迅速
清潔	せいけつ	清洁
せっせと	せっせと	拼命地
措置	そち	措施
素っ気ない	そっけない	冷淡，无情，不客气
備わる	そなわる	设有，具备
聳える	そびえる	耸立
剃る	そる	剃，刮
対処	たいしょ	应付，处理
巧み	たくみ	［ナ形］巧妙，诡计
束ねる	たばねる	捆扎，管理
溜まる·貯まる	たまる	积存，积压，积攒
窒息	ちっそく	窒息
散らがる	ちらがる	凌乱，放得乱七八糟
費やす	ついやす	花费
つくづく	つくづく	仔细，实在
募る	つのる	招募，越来越厉害
手当	てあて	津贴，补助，治疗
徹する	てっする	贯彻，通（宵），彻底
手配	てはい	筹备，安排，部署
咄嗟	とっさ	猛然
滞る	とどこおる	堵塞，拖延，拖欠
取り締まる	とりしまる	管理，管制，取缔
生臭い·腥い	なまぐさい	腥臊，血腥，不守清规
馴れ馴れしい	なれなれしい	毫不拘礼，亲昵
俄	にわか	突然，立刻，临时
俄か	にわか	突然，立刻，临时
値打ち	ねうち	估价，价值，品格
練る	ねる	斟酌，锻炼，搅拌
軒並み	のきなみ	鳞次栉比
乗っ取る	のっとる	攻占，夺取
励ます	はげます	鼓励，提高嗓门
華々しい	はなばなしい	华丽
阻む	はばむ	阻止
引き締める	ひきしめる	勒紧，禁止，缩减，振作
ひたすら	ひたすら	只管，一味
匹敵	ひってき	匹敌，相当
冷やかす	ひやかす	冷却，嘲弄，只问价钱不买
貧困	ひんこん	贫困
不況	ふきょう	（经济）不景气
物議	ぶつぎ	众人的批评，议论
不備	ふび	不完备
踏まえる	ふまえる	踩，踏，依据
振るう	ふるう	兴旺，挥动，积极
憤慨	ふんがい	愤慨
便宜	べんぎ	方便，便（biàn）宜
報じる	ほうじる	报答，报告
呆然	ぼうぜん	发呆
補助	ほじょ	补助，援助
没収	ぼっしゅう	没收
発足	ほっそく	动身，开始活动
施す	ほどこす	施舍，采用
ぼやける	ぼやける	模糊
前もって	まえもって	事先
賄う	まかなう	供应，维持
紛らわしい	まぎらわしい	模糊不清
まごつく	まごつく	惊慌失措，徘徊
待ち遠しい	まちどおしい	急切等待
まちまち	まちまち	各种各样
見窄らしい	みすぼらしい	破旧
みっともない	みっともない	不像样，难看
虚しい·空しい	むなしい	空虚，枉然
無闇	むやみ	随意，过分
捲る	めくる	翻，卷起
専ら	もっぱら	专心致志，专门
模範	もはん	模范
催す	もよおす	举行，感觉，有征兆
稚児しい	ややこしい	复杂，难办
和らげる	やわらげる	使柔和，使缓和
融通	ゆうずう	通融
預金	よきん	存款
酔っ払う	よっぱらう	醉醺醺
夜更け	よふけ	深夜
理屈	りくつ	道理，借口
流暢	りゅうちょう	流畅，流利
露骨	ろこつ	露骨，毫不留情，赤裸裸
煩わしい	わずらわしい	麻烦，繁琐
